lattice_type,variant,L,bootstrap,Tc
triangular,ec,128,193,3.667787422
triangular,ec,128,194,3.669018042
triangular,ec,128,195,3.668527696
triangular,ec,128,196,3.668157522
triangular,ec,128,197,3.668567719
triangular,ec,128,198,3.670339626
triangular,ec,128,199,3.668437647
triangular,ec,192,0,3.658992947
triangular,ec,192,1,3.659182854
triangular,ec,192,2,3.659992678
triangular,ec,192,3,3.659212841
triangular,ec,192,4,3.659822685
triangular,ec,192,5,3.659002942
triangular,ec,192,6,3.659552729
triangular,ec,192,7,3.659922679
triangular,ec,192,8,3.659242829
triangular,ec,192,9,3.659762691
triangular,ec,192,10,3.65947275
triangular,ec,192,11,3.659282813
triangular,ec,192,12,3.659442758
triangular,ec,192,13,3.659292809
triangular,ec,192,14,3.659632712
triangular,ec,192,15,3.659102891
triangular,ec,192,16,3.659332794
triangular,ec,192,17,3.659572724
triangular,ec,192,18,3.659542731
triangular,ec,192,19,3.659812686
triangular,ec,192,20,3.65937278
triangular,ec,192,21,3.660012678
triangular,ec,192,22,3.659462752
triangular,ec,192,23,3.659632712
triangular,ec,192,24,3.659432761
triangular,ec,192,25,3.659842683
triangular,ec,192,26,3.660002678
triangular,ec,192,27,3.659862682
triangular,ec,192,28,3.659712698
triangular,ec,192,29,3.659622714
triangular,ec,192,30,3.659352787
triangular,ec,192,31,3.659922679
triangular,ec,192,32,3.66008268
triangular,ec,192,33,3.6597027
triangular,ec,192,34,3.660822869
triangular,ec,192,35,3.659612716
triangular,ec,192,36,3.66050275
triangular,ec,192,37,3.660022678
triangular,ec,192,38,3.659602718
triangular,ec,192,39,3.660222693
triangular,ec,192,40,3.659132877
triangular,ec,192,41,3.659452755
triangular,ec,192,42,3.658763087
triangular,ec,192,43,3.65964271
triangular,ec,192,44,3.659552729
triangular,ec,192,45,3.659152867
triangular,ec,192,46,3.659022931
triangular,ec,192,47,3.659572724
triangular,ec,192,48,3.660102681
triangular,ec,192,49,3.658733107
triangular,ec,192,50,3.660092681
triangular,ec,192,51,3.659362784
triangular,ec,192,52,3.659862682
triangular,ec,192,53,3.660022678
triangular,ec,192,54,3.659002942
triangular,ec,192,55,3.659962678
triangular,ec,192,56,3.659092896
triangular,ec,192,57,3.659322798
triangular,ec,192,58,3.659232833
triangular,ec,192,59,3.659682703
triangular,ec,192,60,3.659142872
triangular,ec,192,61,3.660042678
triangular,ec,192,62,3.660092681
triangular,ec,192,63,3.659342791
triangular,ec,192,64,3.65919285
triangular,ec,192,65,3.659782689
triangular,ec,192,66,3.660062679
triangular,ec,192,67,3.659452755
triangular,ec,192,68,3.659282813
triangular,ec,192,69,3.658793067
triangular,ec,192,70,3.658992947
triangular,ec,192,71,3.659942678
triangular,ec,192,72,3.659082901
triangular,ec,192,73,3.659732695
triangular,ec,192,74,3.660172687
triangular,ec,192,75,3.659382777
triangular,ec,192,76,3.659722697
triangular,ec,192,77,3.658823047
triangular,ec,192,78,3.659212841
triangular,ec,192,79,3.659582722
triangular,ec,192,80,3.659502741
triangular,ec,192,81,3.658703128
triangular,ec,192,82,3.6587431
triangular,ec,192,83,3.660022678
triangular,ec,192,84,3.659632712
triangular,ec,192,85,3.658952969
triangular,ec,192,86,3.65964271
triangular,ec,192,87,3.660232694
triangular,ec,192,88,3.660652799
triangular,ec,192,89,3.659012936
triangular,ec,192,90,3.658823047
triangular,ec,192,91,3.658823047
triangular,ec,192,92,3.659252825
triangular,ec,192,93,3.660512753
triangular,ec,192,94,3.660632792
triangular,ec,192,95,3.659182854
triangular,ec,192,96,3.659522736
triangular,ec,192,97,3.658972958
triangular,ec,192,98,3.659712698
triangular,ec,192,99,3.659652708
triangular,ec,192,100,3.65947275
triangular,ec,192,101,3.66007268
triangular,ec,192,102,3.660412727
triangular,ec,192,103,3.659032926
triangular,ec,192,104,3.659802687
triangular,ec,192,105,3.660112682
triangular,ec,192,106,3.658942975
triangular,ec,192,107,3.660062679
triangular,ec,192,108,3.659602718
triangular,ec,192,109,3.659812686
triangular,ec,192,110,3.659632712
triangular,ec,192,111,3.65988268
triangular,ec,192,112,3.659152867
triangular,ec,192,113,3.659762691
triangular,ec,192,114,3.659422764
triangular,ec,192,115,3.659032926
triangular,ec,192,116,3.659582722
triangular,ec,192,117,3.660452737
triangular,ec,192,118,3.65977269
triangular,ec,192,119,3.659222837
triangular,ec,192,120,3.659332794
triangular,ec,192,121,3.658902998
triangular,ec,192,122,3.660652799
triangular,ec,192,123,3.659622714
triangular,ec,192,124,3.659482747
triangular,ec,192,125,3.659322798
triangular,ec,192,126,3.659182854
triangular,ec,192,127,3.660012678
triangular,ec,192,128,3.660062679
triangular,ec,192,129,3.659442758
triangular,ec,192,130,3.660262698
triangular,ec,192,131,3.659202845
triangular,ec,192,132,3.659392774
triangular,ec,192,133,3.659422764
triangular,ec,192,134,3.660342712
triangular,ec,192,135,3.6597027
triangular,ec,192,136,3.659482747
triangular,ec,192,137,3.659162863
triangular,ec,192,138,3.659942678
triangular,ec,192,139,3.659452755
triangular,ec,192,140,3.658693135
triangular,ec,192,141,3.659522736
triangular,ec,192,142,3.659162863
triangular,ec,192,143,3.660672806
triangular,ec,192,144,3.660002678
triangular,ec,192,145,3.65964271
triangular,ec,192,146,3.659542731
triangular,ec,192,147,3.660142684
triangular,ec,192,148,3.659792688
triangular,ec,192,149,3.659992678
triangular,ec,192,150,3.659902679
triangular,ec,192,151,3.659662706
triangular,ec,192,152,3.659682703
triangular,ec,192,153,3.659152867
triangular,ec,192,154,3.659382777
triangular,ec,192,155,3.65959272
triangular,ec,192,156,3.660102681
triangular,ec,192,157,3.659722697
triangular,ec,192,158,3.659412767
triangular,ec,192,159,3.659912679
triangular,ec,192,160,3.659612716
triangular,ec,192,161,3.659482747
triangular,ec,192,162,3.65989268
triangular,ec,192,163,3.659082901
triangular,ec,192,164,3.659382777
triangular,ec,192,165,3.659652708
triangular,ec,192,166,3.659412767
triangular,ec,192,167,3.658932981
triangular,ec,192,168,3.65937278
triangular,ec,192,169,3.658553239
triangular,ec,192,170,3.659102891
triangular,ec,192,171,3.659122881
triangular,ec,192,172,3.659112886
triangular,ec,192,173,3.659712698
triangular,ec,192,174,3.658912992
triangular,ec,192,175,3.659572724
triangular,ec,192,176,3.659502741
triangular,ec,192,177,3.659492744
triangular,ec,192,178,3.66033271
triangular,ec,192,179,3.659922679
triangular,ec,192,180,3.658952969
triangular,ec,192,181,3.660362716
triangular,ec,192,182,3.660032678
triangular,ec,192,183,3.659782689
triangular,ec,192,184,3.65937278
triangular,ec,192,185,3.659552729
triangular,ec,192,186,3.660062679
triangular,ec,192,187,3.660252697
triangular,ec,192,188,3.659492744
triangular,ec,192,189,3.659852682
triangular,ec,192,190,3.659762691
triangular,ec,192,191,3.659842683
triangular,ec,192,192,3.658543247
triangular,ec,192,193,3.658503279
triangular,ec,192,194,3.6597027
triangular,ec,192,195,3.659692701
triangular,ec,192,196,3.658982953
triangular,ec,192,197,3.659232833
triangular,ec,192,198,3.659462752
triangular,ec,192,199,3.659732695
triangular,ec,256,0,3.653721312
triangular,ec,256,1,3.65405022
triangular,ec,256,2,3.654000382
triangular,ec,256,3,3.654738129
triangular,ec,256,4,3.653910676
triangular,ec,256,5,3.653801042
triangular,ec,256,6,3.654239619
triangular,ec,256,7,3.654299433
triangular,ec,256,8,3.65397048
triangular,ec,256,9,3.653651551
triangular,ec,256,10,3.654488857
triangular,ec,256,11,3.654468916
triangular,ec,256,12,3.653641586
triangular,ec,256,13,3.653870808
triangular,ec,256,14,3.654169838
triangular,ec,256,15,3.654319371
triangular,ec,256,16,3.654538708
