lattice_type,variant,L,bootstrap,Tc
triangular,m,192,44,3.658753093
triangular,m,192,45,3.658353406
triangular,m,192,46,3.658113636
triangular,m,192,47,3.6587431
triangular,m,192,48,3.659272817
triangular,m,192,49,3.657903863
triangular,m,192,50,3.659362784
triangular,m,192,51,3.658493287
triangular,m,192,52,3.658922987
triangular,m,192,53,3.659202845
triangular,m,192,54,3.658323433
triangular,m,192,55,3.659002942
triangular,m,192,56,3.658163586
triangular,m,192,57,3.658553239
triangular,m,192,58,3.658503279
triangular,m,192,59,3.658962964
triangular,m,192,60,3.658333424
triangular,m,192,61,3.659132877
triangular,m,192,62,3.659252825
triangular,m,192,63,3.658473303
triangular,m,192,64,3.658393371
triangular,m,192,65,3.658853029
triangular,m,192,66,3.659272817
triangular,m,192,67,3.658693135
triangular,m,192,68,3.658413354
triangular,m,192,69,3.657933829
triangular,m,192,70,3.658223527
triangular,m,192,71,3.659132877
triangular,m,192,72,3.658173576
triangular,m,192,73,3.658833041
triangular,m,192,74,3.659262821
triangular,m,192,75,3.658613193
triangular,m,192,76,3.659002942
triangular,m,192,77,3.658103646
triangular,m,192,78,3.658303452
triangular,m,192,79,3.65877308
triangular,m,192,80,3.658633178
triangular,m,192,81,3.657963796
triangular,m,192,82,3.657774016
triangular,m,192,83,3.659232833
triangular,m,192,84,3.65880306
triangular,m,192,85,3.658103646
triangular,m,192,86,3.658912992
triangular,m,192,87,3.659382777
triangular,m,192,88,3.659812686
triangular,m,192,89,3.658123626
triangular,m,192,90,3.657963796
triangular,m,192,91,3.658153596
triangular,m,192,92,3.658463312
triangular,m,192,93,3.659682703
triangular,m,192,94,3.65988268
triangular,m,192,95,3.658443328
triangular,m,192,96,3.658723114
triangular,m,192,97,3.658133616
triangular,m,192,98,3.65888301
triangular,m,192,99,3.658902998
triangular,m,192,100,3.658733107
triangular,m,192,101,3.659182854
triangular,m,192,102,3.659662706
triangular,m,192,103,3.658253498
triangular,m,192,104,3.658922987
triangular,m,192,105,3.659162863
triangular,m,192,106,3.658223527
triangular,m,192,107,3.659122881
triangular,m,192,108,3.658633178
triangular,m,192,109,3.659042921
triangular,m,192,110,3.658723114
triangular,m,192,111,3.659122881
triangular,m,192,112,3.658303452
triangular,m,192,113,3.658982953
triangular,m,192,114,3.658493287
triangular,m,192,115,3.658113636
triangular,m,192,116,3.658703128
triangular,m,192,117,3.659562727
triangular,m,192,118,3.658952969
triangular,m,192,119,3.658303452
triangular,m,192,120,3.658613193
triangular,m,192,121,3.658143606
triangular,m,192,122,3.659782689
triangular,m,192,123,3.658813054
triangular,m,192,124,3.658633178
triangular,m,192,125,3.658643171
triangular,m,192,126,3.658353406
triangular,m,192,127,3.659122881
triangular,m,192,128,3.659252825
triangular,m,192,129,3.658593208
triangular,m,192,130,3.659542731
triangular,m,192,131,3.658393371
triangular,m,192,132,3.658583216
triangular,m,192,133,3.658493287
triangular,m,192,134,3.65959272
triangular,m,192,135,3.658982953
triangular,m,192,136,3.658613193
triangular,m,192,137,3.658203546
triangular,m,192,138,3.658992947
triangular,m,192,139,3.658623185
triangular,m,192,140,3.658073678
triangular,m,192,141,3.658693135
triangular,m,192,142,3.658083667
triangular,m,192,143,3.659742694
triangular,m,192,144,3.659282813
triangular,m,192,145,3.658893004
triangular,m,192,146,3.658683142
triangular,m,192,147,3.659302805
triangular,m,192,148,3.658992947
triangular,m,192,149,3.659262821
triangular,m,192,150,3.659132877
triangular,m,192,151,3.658733107
triangular,m,192,152,3.658853029
triangular,m,192,153,3.658363398
triangular,m,192,154,3.658633178
triangular,m,192,155,3.658713121
triangular,m,192,156,3.65919285
triangular,m,192,157,3.658902998
triangular,m,192,158,3.658643171
triangular,m,192,159,3.659032926
triangular,m,192,160,3.658873016
triangular,m,192,161,3.658623185
triangular,m,192,162,3.658992947
triangular,m,192,163,3.65827348
triangular,m,192,164,3.658623185
triangular,m,192,165,3.658703128
triangular,m,192,166,3.658583216
triangular,m,192,167,3.658183566
triangular,m,192,168,3.658533255
triangular,m,192,169,3.657813968
triangular,m,192,170,3.658293461
triangular,m,192,171,3.658293461
triangular,m,192,172,3.658323433
triangular,m,192,173,3.658962964
triangular,m,192,174,3.658113636
triangular,m,192,175,3.658653163
triangular,m,192,176,3.658753093
triangular,m,192,177,3.658813054
triangular,m,192,178,3.659392774
triangular,m,192,179,3.659032926
triangular,m,192,180,3.658113636
triangular,m,192,181,3.659422764
triangular,m,192,182,3.659082901
triangular,m,192,183,3.658972958
triangular,m,192,184,3.658573223
triangular,m,192,185,3.658693135
triangular,m,192,186,3.659232833
triangular,m,192,187,3.659342791
triangular,m,192,188,3.658693135
triangular,m,192,189,3.659042921
triangular,m,192,190,3.659072906
triangular,m,192,191,3.658962964
triangular,m,192,192,3.657594242
triangular,m,192,193,3.657644177
triangular,m,192,194,3.658783073
triangular,m,192,195,3.658893004
triangular,m,192,196,3.658173576
triangular,m,192,197,3.658513271
triangular,m,192,198,3.658663156
triangular,m,192,199,3.658763087
triangular,m,256,0,3.653083598
triangular,m,256,1,3.653492108
triangular,m,256,2,3.653332679
triangular,m,256,3,3.654159869
triangular,m,256,4,3.653312751
triangular,m,256,5,3.653243006
triangular,m,256,6,3.653522003
triangular,m,256,7,3.653651551
triangular,m,256,8,3.653412392
triangular,m,256,9,3.653073636
triangular,m,256,10,3.653860842
triangular,m,256,11,3.653820975
triangular,m,256,12,3.652964052
triangular,m,256,13,3.653262933
triangular,m,256,14,3.653561863
triangular,m,256,15,3.65363162
triangular,m,256,16,3.65393061
triangular,m,256,17,3.65319319
triangular,m,256,18,3.653482143
triangular,m,256,19,3.652983976
triangular,m,256,20,3.653093561
triangular,m,256,21,3.653761177
triangular,m,256,22,3.654119996
triangular,m,256,23,3.653492108
triangular,m,256,24,3.652734943
triangular,m,256,25,3.653143375
triangular,m,256,26,3.653551898
triangular,m,256,27,3.654169838
triangular,m,256,28,3.65410006
triangular,m,256,29,3.653581793
triangular,m,256,30,3.653272896
triangular,m,256,31,3.653342643
triangular,m,256,32,3.653671483
triangular,m,256,33,3.653233043
triangular,m,256,34,3.652914243
triangular,m,256,35,3.653312751
triangular,m,256,36,3.653791076
triangular,m,256,37,3.6531633
triangular,m,256,38,3.652884358
triangular,m,256,39,3.653243006
triangular,m,256,40,3.653651551
triangular,m,256,41,3.653352607
triangular,m,256,42,3.65319319
triangular,m,256,43,3.653063673
triangular,m,256,44,3.653153337
triangular,m,256,45,3.653661517
triangular,m,256,46,3.65405022
triangular,m,256,47,3.653482143
triangular,m,256,48,3.653312751
triangular,m,256,49,3.653731278
triangular,m,256,50,3.653402427
triangular,m,256,51,3.653641586
triangular,m,256,52,3.653621655
triangular,m,256,53,3.653541933
triangular,m,256,54,3.653362571
triangular,m,256,55,3.653661517
triangular,m,256,56,3.653402427
triangular,m,256,57,3.653203153
triangular,m,256,58,3.653581793
triangular,m,256,59,3.653651551
triangular,m,256,60,3.653013862
triangular,m,256,61,3.653422356
triangular,m,256,62,3.653392463
triangular,m,256,63,3.653372535
triangular,m,256,64,3.653621655
triangular,m,256,65,3.653492108
triangular,m,256,66,3.653661517
triangular,m,256,67,3.653541933
