lattice_type,representation,variant,L,bootstrap,Tc,chi_c
triangular,vertex,ec,96,89,3.678527811,0.8947175001
triangular,vertex,ec,96,90,3.678297694,0.8968546796
triangular,vertex,ec,96,91,3.67957871,0.8801227869
triangular,vertex,ec,96,92,3.678387736,0.8948719902
triangular,vertex,ec,96,93,3.678757957,0.9043185868
triangular,vertex,ec,96,94,3.677977579,0.8917268402
triangular,vertex,ec,96,95,3.678447767,0.8992516003
triangular,vertex,ec,96,96,3.679798975,0.9052602465
triangular,vertex,ec,96,97,3.679248363,0.9058850872
triangular,vertex,ec,96,98,3.679418534,0.8927548526
triangular,vertex,ec,96,99,3.677727529,0.9119359201
triangular,vertex,ec,96,100,3.679608745,0.888789174
triangular,vertex,ec,96,101,3.677687524,0.8913395417
triangular,vertex,ec,96,102,3.677257525,0.8980825804
triangular,vertex,ec,96,103,3.678948099,0.8805040941
triangular,vertex,ec,96,104,3.679708863,0.8684444395
triangular,vertex,ec,96,105,3.677997585,0.8856325622
triangular,vertex,ec,96,106,3.678898059,0.8915272936
triangular,vertex,ec,96,107,3.678297694,0.8786403249
triangular,vertex,ec,96,108,3.678527811,0.8949381968
triangular,vertex,ec,96,109,3.679188306,0.8966643954
triangular,vertex,ec,96,110,3.677617517,0.8950126186
triangular,vertex,ec,96,111,3.67913826,0.8831858977
triangular,vertex,ec,96,112,3.678547822,0.8907485594
triangular,vertex,ec,96,113,3.678457772,0.9008532625
triangular,vertex,ec,96,114,3.677987582,0.8872828853
triangular,vertex,ec,96,115,3.680409846,0.8844365631
triangular,vertex,ec,96,116,3.677497512,0.8953612165
triangular,vertex,ec,96,117,3.677207532,0.8965208211
triangular,vertex,ec,96,118,3.679198315,0.900619175
triangular,vertex,ec,96,119,3.678817999,0.8866238599
triangular,vertex,ec,96,120,3.67721753,0.8989233718
triangular,vertex,ec,96,121,3.678707922,0.8839144963
triangular,vertex,ec,96,122,3.677587515,0.8861027483
triangular,vertex,ec,96,123,3.680199523,0.8989897926
triangular,vertex,ec,96,124,3.679348462,0.8953931727
triangular,vertex,ec,96,125,3.681171216,0.8797164908
triangular,vertex,ec,96,126,3.678457772,0.8739550136
triangular,vertex,ec,96,127,3.679158278,0.8852208057
triangular,vertex,ec,96,128,3.677357516,0.8825304551
triangular,vertex,ec,96,129,3.678948099,0.8831684489
triangular,vertex,ec,96,130,3.677537513,0.8964576411
triangular,vertex,ec,96,131,3.679398513,0.8867227539
triangular,vertex,ec,96,132,3.678127626,0.8753101166
triangular,vertex,ec,96,133,3.677897559,0.8768201339
triangular,vertex,ec,96,134,3.677697525,0.8905203263
triangular,vertex,ec,96,135,3.678918075,0.8903270003
triangular,vertex,ec,96,136,3.678797985,0.8877212376
triangular,vertex,ec,96,137,3.678787978,0.8971610076
triangular,vertex,ec,96,138,3.678537817,0.8899920003
triangular,vertex,ec,96,139,3.677767534,0.8805013365
triangular,vertex,ec,96,140,3.678147633,0.9046591796
triangular,vertex,ec,96,141,3.678297694,0.901569313
triangular,vertex,ec,96,142,3.678677903,0.8936181125
triangular,vertex,ec,96,143,3.678928083,0.9004289245
triangular,vertex,ec,96,144,3.67905819,0.9084787857
triangular,vertex,ec,96,145,3.678777971,0.8808564802
triangular,vertex,ec,96,146,3.679899104,0.8687196245
triangular,vertex,ec,96,147,3.677847549,0.8766897279
triangular,vertex,ec,96,148,3.677557513,0.9018670197
triangular,vertex,ec,96,149,3.679478599,0.8882803745
triangular,vertex,ec,96,150,3.677517512,0.9031916042
triangular,vertex,ec,96,151,3.678257677,0.9126697586
triangular,vertex,ec,96,152,3.678477783,0.9171206064
triangular,vertex,ec,96,153,3.67705756,0.8915175375
triangular,vertex,ec,96,154,3.679148269,0.8829828747
triangular,vertex,ec,96,155,3.678607858,0.9003045834
triangular,vertex,ec,96,156,3.679508632,0.9016065695
triangular,vertex,ec,96,157,3.679819,0.9067863074
triangular,vertex,ec,96,158,3.677607516,0.896948035
triangular,vertex,ec,96,159,3.67821766,0.8728299548
triangular,vertex,ec,96,160,3.679208325,0.8940168007
triangular,vertex,ec,96,161,3.679398513,0.8833576286
triangular,vertex,ec,96,162,3.679899104,0.8944176723
triangular,vertex,ec,96,163,3.6780476,0.882193421
triangular,vertex,ec,96,164,3.67701757,0.8898412596
triangular,vertex,ec,96,165,3.679798975,0.9052880186
triangular,vertex,ec,96,166,3.67905819,0.8708947121
triangular,vertex,ec,96,167,3.6780476,0.8892603146
triangular,vertex,ec,96,168,3.678978123,0.882859385
triangular,vertex,ec,96,169,3.680249598,0.8942446381
triangular,vertex,ec,96,170,3.678027594,0.8901468416
triangular,vertex,ec,96,171,3.678787978,0.8934035249
triangular,vertex,ec,96,172,3.678247673,0.8969473481
triangular,vertex,ec,96,173,3.678918075,0.8768715433
triangular,vertex,ec,96,174,3.678497794,0.8894568267
triangular,vertex,ec,96,175,3.677597516,0.8961263514
triangular,vertex,ec,96,176,3.67994917,0.8695276131
triangular,vertex,ec,96,177,3.677837547,0.8932514596
triangular,vertex,ec,96,178,3.677977579,0.8792624823
triangular,vertex,ec,96,179,3.677237528,0.9046921749
triangular,vertex,ec,96,180,3.678978123,0.8772798163
triangular,vertex,ec,96,181,3.678918075,0.8882685745
triangular,vertex,ec,96,182,3.678297694,0.8929472708
triangular,vertex,ec,96,183,3.678327708,0.888347604
triangular,vertex,ec,96,184,3.677137543,0.8936913775
triangular,vertex,ec,96,185,3.677937569,0.8912887597
triangular,vertex,ec,96,186,3.677447512,0.8873113583
triangular,vertex,ec,96,187,3.678757957,0.8913346046
triangular,vertex,ec,96,188,3.678527811,0.8983534117
triangular,vertex,ec,96,189,3.676747657,0.8943497606
triangular,vertex,ec,96,190,3.678797985,0.8869445437
triangular,vertex,ec,96,191,3.677107549,0.886350201
triangular,vertex,ec,96,192,3.677687524,0.8870411335
triangular,vertex,ec,96,193,3.679098225,0.8683948815
triangular,vertex,ec,96,194,3.679128251,0.8965126981
triangular,vertex,ec,96,195,3.679829013,0.8902134758
triangular,vertex,ec,96,196,3.678457772,0.8932505715
triangular,vertex,ec,96,197,3.678267681,0.8965318509
triangular,vertex,ec,96,198,3.677557513,0.8816536863
triangular,vertex,ec,96,199,3.67865789,0.8974307505
triangular,vertex,ec,128,0,3.667927451,1.438475514
triangular,vertex,ec,128,1,3.668467663,1.450729431
triangular,vertex,ec,128,2,3.667827429,1.449795481
triangular,vertex,ec,128,3,3.668007472,1.452413273
triangular,vertex,ec,128,4,3.668947984,1.432165509
triangular,vertex,ec,128,5,3.667917448,1.456623665
triangular,vertex,ec,128,6,3.669138146,1.418056027
triangular,vertex,ec,128,7,3.66851769,1.417406786
triangular,vertex,ec,128,8,3.669258259,1.443740494
triangular,vertex,ec,128,9,3.668757842,1.428859317
triangular,vertex,ec,128,10,3.667047447,1.441570208
triangular,vertex,ec,128,11,3.668567719,1.443145459
triangular,vertex,ec,128,12,3.669198202,1.446948563
triangular,vertex,ec,128,13,3.667987466,1.420178616
triangular,vertex,ec,128,14,3.667457396,1.448314416
triangular,vertex,ec,128,15,3.667397398,1.478620252
triangular,vertex,ec,128,16,3.667567398,1.444030803
triangular,vertex,ec,128,17,3.667937453,1.454327858
triangular,vertex,ec,128,18,3.668937976,1.438004216
triangular,vertex,ec,128,19,3.667547397,1.444907787
triangular,vertex,ec,128,20,3.668187533,1.463104947
triangular,vertex,ec,128,21,3.667817427,1.444988628
triangular,vertex,ec,128,22,3.668707808,1.410368069
triangular,vertex,ec,128,23,3.668187533,1.444417867
triangular,vertex,ec,128,24,3.669578598,1.424250414
triangular,vertex,ec,128,25,3.668477668,1.46191494
triangular,vertex,ec,128,26,3.668197537,1.421443868
triangular,vertex,ec,128,27,3.668947984,1.467851352
triangular,vertex,ec,128,28,3.667227413,1.455087645
triangular,vertex,ec,128,29,3.667967461,1.456711226
triangular,vertex,ec,128,30,3.667587399,1.439046375
triangular,vertex,ec,128,31,3.669628656,1.46096861
triangular,vertex,ec,128,32,3.668487673,1.440810673
triangular,vertex,ec,128,33,3.66879787,1.467289007
triangular,vertex,ec,128,34,3.669688727,1.420778771
triangular,vertex,ec,128,35,3.667527397,1.456561433
triangular,vertex,ec,128,36,3.669208211,1.465555461
triangular,vertex,ec,128,37,3.668707808,1.455180149
triangular,vertex,ec,128,38,3.668757842,1.447605275
triangular,vertex,ec,128,39,3.668988017,1.426313816
triangular,vertex,ec,128,40,3.669638667,1.451934261
triangular,vertex,ec,128,41,3.667147426,1.447473528
triangular,vertex,ec,128,42,3.670009141,1.44218281
triangular,vertex,ec,128,43,3.668347602,1.456106719
triangular,vertex,ec,128,44,3.668357607,1.422962489
triangular,vertex,ec,128,45,3.668557713,1.453235856
triangular,vertex,ec,128,46,3.669358359,1.439056
triangular,vertex,ec,128,47,3.667487396,1.434925374
triangular,vertex,ec,128,48,3.667947456,1.454720096
triangular,vertex,ec,128,49,3.667287406,1.425210386
triangular,vertex,ec,128,50,3.669318318,1.438014657
triangular,vertex,ec,128,51,3.668117507,1.427808139
triangular,vertex,ec,128,52,3.668747835,1.461234837
triangular,vertex,ec,128,53,3.668167525,1.44285858
triangular,vertex,ec,128,54,3.667787422,1.443414219
triangular,vertex,ec,128,55,3.6675974,1.461415664
triangular,vertex,ec,128,56,3.668117507,1.452545894
triangular,vertex,ec,128,57,3.667767419,1.460048294
triangular,vertex,ec,128,58,3.668117507,1.457024582
triangular,vertex,ec,128,59,3.66851769,1.435092255
triangular,vertex,ec,128,60,3.66770741,1.452925217
triangular,vertex,ec,128,61,3.667967461,1.450115672
triangular,vertex,ec,128,62,3.667847433,1.419232502
triangular,vertex,ec,128,63,3.668827892,1.456618749
triangular,vertex,ec,128,64,3.669458464,1.434071059
triangular,vertex,ec,128,65,3.668367611,1.44572184
triangular,vertex,ec,128,66,3.66910812,1.445881592
triangular,vertex,ec,128,67,3.668017475,1.435189409
triangular,vertex,ec,128,68,3.669198202,1.435867224
triangular,vertex,ec,128,69,3.668547707,1.452786731
triangular,vertex,ec,128,70,3.668457657,1.462640336
triangular,vertex,ec,128,71,3.667907446,1.453527219
triangular,vertex,ec,128,72,3.667887441,1.437191545
triangular,vertex,ec,128,73,3.667997469,1.444857802
triangular,vertex,ec,128,74,3.667767419,1.463016083
triangular,vertex,ec,128,75,3.668937976,1.411843816
triangular,vertex,ec,128,76,3.668427641,1.440945425
triangular,vertex,ec,128,77,3.668027478,1.436791672
triangular,vertex,ec,128,78,3.66861775,1.43175009
triangular,vertex,ec,128,79,3.668447652,1.434698942
triangular,vertex,ec,128,80,3.668998025,1.462696978
triangular,vertex,ec,128,81,3.668327592,1.463560984
triangular,vertex,ec,128,82,3.668867922,1.451958641
